Marca temporal,Tipo de registro,Procedimiento o proceso en el que se le atendió,Servicios referidos (Detalle),"Detalles de la queja, sugerencia o felicitación",Departamento que lo atendió,Instancia,,,,,
9/17/2024 14:42:34,Felicitación,Préstamo de Equipo Informático,Permiso para usar equipo de laboratorio ,Ninguno,Unidad de Informática,Unidad de Informática,,,,,
9/18/2024 14:32:36,Sugerencia,Préstamo de Equipo Informático,préstamo de equipo ,Internet no funciona ,Unidad de Informática,Unidad de Informática,,,,,
9/19/2024 14:32:47,Felicitación,Préstamo de Equipo Informático,equipo informático,Perfecto ,Unidad de Informática,Unidad de Informática,,,,,
9/19/2024 15:06:25,Queja,Préstamo de Equipo Informático,Usar compu,No tiene internet ,Dirección,Unidad de Informática,,,,,
9/19/2024 15:58:13,Sugerencia,Prácticas Académicas de Laboratorios y Talleres,Prestamos de la sala libre ,No hay internet en algunas máquinas ,Unidad de Informática,Unidad de Informática,,,,,
9/24/2024 11:53:14,Queja,Gestión del Diseño Curricular de Programas Académicos,Lab,Malas computadoras ,Unidad de Informática,Unidad de Informática,,,,,
9/26/2024 12:46:11,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Préstamo de equipo,:),Unidad de Informática,Unidad de Informática,,,,,
9/27/2024 10:14:01,Felicitación,Préstamo de Equipo Informático,Préstamo de comoutadora,Todo buen,Unidad de Informática,Unidad de Informática,,,,,
9/30/2024 9:54:54,Sugerencia,Uso de equipos ,Salón de computo ,Las máquinas están algo lentas ,Unidad de Informática,Unidad de Informática,,,,,
9/30/2024 9:55:38,Sugerencia,Control de Información Documentada,Ninguno,Ninguno,Unidad de Informática,,,,,,
9/30/2024 9:56:06,Felicitación,Préstamo de Equipo Informático,Prestamo de Computadora,El equipo funciono bien,Unidad de Informática,Unidad de Informática,,,,,
10/7/2024 9:51:31,Felicitación,Préstamo de Equipo Informático,Prestamo de equipo ,Muy amables,Unidad de Informática,Unidad de Informática,,,,,
10/7/2024 10:06:48,Felicitación,Préstamo de Equipo Informático,Prestamo de equipo ,Muy amables ,Unidad de Informática,Unidad de Informática,,,,,
10/7/2024 10:07:55,Felicitación,Préstamo de Equipo Informático,Prestamo de PC,Todo bien,Unidad de Informática,Unidad de Informática,,,,,
10/7/2024 16:02:32,Sugerencia,Préstamo de Equipo Informático,Uso de sala de uso libre,Me solicitaron llenar el formulario,Departamento de Servicios Estudiantiles,Unidad de Informática,,,,,
10/8/2024 12:03:30,Felicitación,Gestión de la Evaluación Curricular de Programas Académicos,Computadora ,Bueno,Unidad de Informática,Unidad de Informática,,,,,
10/9/2024 15:11:25,Felicitación,Préstamo de Equipo Informático,Prestamos de equipo de Computación para realizar prácticas escolares ,"Buen equipo de cómputo, buena atención académica ",Unidad de Informática,Unidad de Informática,,,,,
10/10/2024 10:45:34,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Ninguno,Ninguna ,Unidad de Informática,Innovación Educativa,,,,,
10/22/2024 15:03:23,Felicitación,Tutorías,.,..,Departamento de Innovación Educativa,Depto. de Evaluación y Seguimiento Académico,,,,,
11/11/2024 11:58:57,Felicitación,Préstamo de Equipo Informático,De cómputo ,Muy bien equipo ,Unidad de Informática,Unidad de Informática,,,,,
11/11/2024 11:59:19,Felicitación,Préstamo de Equipo Informático,Préstamo de computadora,Buen servicio ,Unidad de Informática,Unidad de Informática,,,,,
11/13/2024 10:09:55,Felicitación,Gestión para las Prácticas y/o Visitas Escolares,ninguno,Buen trabajo,Unidad de Informática,Depto. de Evaluación y Seguimiento Académico,,,,,
11/13/2024 10:10:20,Sugerencia,Préstamo de Equipo Informático,Prestación de equipo ,Sugiero poder conectar el Ethernet a nuestro equipo para poder hacer uso del internet y del monitor,Unidad de Informática,Unidad de Informática,,,,,
11/19/2024 10:31:22,Felicitación,Gestión del Diseño de Programas de Estudio,Ninguna ,Ninguna ,Subdirección Académica,Unidad de Informática,,,,,
11/19/2024 14:55:28,Felicitación,Gestión de la Evaluación Curricular de Programas Académicos,Ninguna ,Ninguna ,Unidad de Informática,Unidad de Informática,,,,,
11/20/2024 13:33:38,Felicitación,Concurso de Exámenes de Oposición de Cátedra,.,.,Departamento de Ciencias e Ingeniería de la Computación,Subdirección Académica,,,,,
11/20/2024 14:24:59,Queja,Préstamo de Equipo Informático,Préstamo de equipo de laboratorio libre ,"Las máquinas no se pueden usar para hacer tareas en horas libres, no dejan programas ni tienen ningún programa o IDE para poder hacer prácticas ",Unidad de Informática,Unidad de Informática,,,,,
11/25/2024 17:53:12,Felicitación,Laboratorio,Préstamo de máquina.,Bueno,Departamento de Ciencias e Ingeniería de la Computación,Unidad de Informática,,,,,
12/18/2024 12:10:13,Felicitación,Tutorías,Udi,No ,Unidad de Informática,Depto. de Evaluación y Seguimiento Académico,,,,,
12/18/2024 12:10:29,Felicitación,Auditoría Interna,Computadora ,Muy buen servicio ,Subdirección de Servicios Educativos e Integración Social,Coordinación de Enlace y Gestión Técnica,,,,,
12/18/2024 15:35:21,Felicitación,Compu,Compu,Todo bien ,Unidad de Informática,Unidad de Informática,,,,,
1/8/2025 14:04:54,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Bie n,Ninguna,Unidad de Informática,Innovación Educativa,,,,,
1/29/2025 15:20:37,Queja,Reinscripción,Solicitud de información para Reinscripcion,"Acudí a ventanilla de servicios escolares a resolver una duda acerca de mi proceso de reinscripción. Sin embargo, la persona que me atendió se encontraba revisando su celular, mientras me atendía de malas seguía utilizando su celular.
No considero apropiada esta conducta, pues ni siquiera parecía interesarle lo que le comentaba. ",Subdirección de Servicios Educativos e Integración Social,Gestión escolar,,,,,
1/29/2025 15:43:01,Sugerencia,Préstamo de Equipo Informático,me prestaron una máquina ,muy buena la máquina pero un poco lentos los teclados ya que se les atoraban las teclas ,Unidad de Informática,Unidad de Informática,,,,,
1/29/2025 15:43:26,Felicitación,Préstamo de Equipo Informático,mejorar velocidad de internet ,"todo bien, mejorar velocidad de internet ",Unidad de Informática,Unidad de Informática,,,,,
2/12/2025 9:48:11,Felicitación,Control de Información Documentada,Prestamo,Ninguna ,Unidad de Informática,Coordinación de Enlace y Gestión Técnica,,,,,
2/12/2025 13:19:44,Felicitación,Uso de computadora ,Uso de computadora,Gracias por prestar el servicio,Unidad de Informática,Unidad de Informática,,,,,
2/13/2025 10:11:36,Queja,Una duda sobre una situación ,Una duda ,Simplemente necesitaba una respuesta que no duraría ni 5 minutos y obviamente si hay un horario pero no costaba nada y si se hace un trámite obviamente es en horario,Departamento de Gestión Escolar,Gestión escolar,,,,,
2/17/2025 9:58:27,Felicitación,"Gestión, Control y Ejercicio del Presupuesto Federal",Compus,Ninguna ,Unidad de Informática,Departamento de Recursos Financieros,,,,,
2/19/2025 11:58:13,Felicitación,Tiempo Libre,Uso de la máquina de computación ,Todo bien por el momento ,Departamento de Gestión Escolar,Unidad de Informática,,,,,
2/19/2025 13:27:00,Felicitación,Uso de PC,Prestacion de PC,Atención atenta,Unidad de Informática,Unidad de Informática,,,,,
2/19/2025 13:36:18,Felicitación,Servicios Bibliotecarios,Prestación de servicios informaticos,"Buen servicio, 10/10",Unidad de Informática,Depto. de servicios Estudiantiles,,,,,
2/19/2025 13:40:25,Sugerencia,Tutorías,Préstamo de equipo,Buen trato ,Unidad de Informática,Depto. de Evaluación y Seguimiento Académico,,,,,
2/20/2025 12:17:06,Sugerencia,Préstamo de Equipo Informático,Equipo informático ,El internet intermitente no me permitió hacer mi trabajo,Unidad de Informática,Unidad de Informática,,,,,
2/21/2025 9:11:25,Felicitación,Trámite de Documentos de Gestión Escolar,Laboratorio tiempo libre,Felicitación por la gestión de los equipos. El semestre pasado se encontraban descuidado y con máximo privilegios. Hoy ya se encuentran en mejor estado y cosas como la deshabilitación de CMD se felicita.,Unidad de Informática,Unidad de Informática,,,,,
2/21/2025 10:53:36,Sugerencia,Préstamo de Equipo Informático,Laboratorio libre,Se necesita mejorar el internet ,Unidad de Tecnología Educativa y Campus Virtual,Unidad de Informática,,,,,
2/26/2025 10:15:07,Sugerencia,Préstamo de Equipo Informático,préstamo de cómputo ,muy bien servicio ,Unidad de Informática,Unidad de Informática,,,,,
2/26/2025 12:11:48,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo de computo,Felicitacion,Unidad de Informática,Unidad de Informática,,,,,
2/26/2025 12:18:47,Sugerencia,Préstamo de Equipo Informático,Me prestaron una computadora ,Todo bien ,Unidad de Informática,Unidad de Informática,,,,,
2/27/2025 12:02:00,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo de cómputo ,Felicidades,Unidad de Informática,Unidad de Informática,,,,,
